"time_stamp","inputs","operation","output"
"2020-08-27T04:57:57.7875064","2020-08-27,today","Natural Language Expression","27-08-2020"
"2020-08-27T04:59:13.0317662","2019-08-22,2021-08-23","SUBTRACT 2 DATES","Difference is 2 years, 0 months, 0 weeks and 1 days"
"2020-08-27T05:19:18.4307917","2020-08-27","DAY OF THE WEEK","Thursday"
"2020-08-27T05:30:01.4859182","2020-08-27,today","Natural Language Expression","27-08-2020"
"2020-08-27T06:15:33.4791157","2020-09-01,-1","ADD/SUBTRACT N WEEKS","25-08-2020"
"2020-08-27T06:15:34.7468953","2020-09-01,-10","ADD/SUBTRACT N DAYS","22-08-2020"
"2020-08-27T06:15:35.7577395","2019-05-20,2019-05-20","SUBTRACT 2 DATES","Difference is 0 years, 0 months, 0 weeks and 0 days"
"2020-08-27T06:15:36.774067","2019-05-20","WEEK NUMBER","Week number is 21 ."
"2020-08-27T06:15:36.7830705","2020-09-01","WEEK NUMBER","Week number is 36 ."
"2020-08-27T06:15:37.7911008","2019-05-20,365","ADD/SUBTRACT N DAYS","19-05-2020"
"2020-08-27T06:15:38.7956643","2019-05-20,3","ADD/SUBTRACT N MONTHS","20-08-2019"
"2020-08-27T06:15:39.7886659","2019-05-20,2020-09-01","ADDING 2 DATES","21-02-4040"
"2020-08-27T06:15:40.7810471","2020-09-01,10","ADD/SUBTRACT N DAYS","11-09-2020"
"2020-08-27T06:15:41.7865254","2020-09-01,365","ADD/SUBTRACT N DAYS","01-09-2021"
"2020-08-27T06:15:42.7975136","2020-09-01,2","ADD/SUBTRACT N WEEKS","15-09-2020"
"2020-08-27T06:15:43.8125643","2020-09-01,-10","ADD/SUBTRACT N DAYS","22-08-2020"
"2020-08-27T06:15:44.8200785","2020-09-01,-1","ADD/SUBTRACT N WEEKS","25-08-2020"
"2020-08-27T06:15:44.8278351","2020-09-01,-1","ADD/SUBTRACT N WEEKS","25-08-2020"
"2020-08-27T06:15:45.8252643","2019-05-20","DAY OF THE WEEK","Monday"
"2020-08-27T06:15:45.8318223","2020-09-01","DAY OF THE WEEK","Tuesday"
"2020-08-27T06:15:46.8560546","2019-05-20,2020-09-01","SUBTRACT 2 DATES","Difference is 1 years, 3 months, 1 weeks and 5 days"
"2020-08-27T06:15:47.8604795","2019-05-20,-3","ADD/SUBTRACT N MONTHS","20-02-2019"
"2020-08-27T06:15:48.868479","2019-05-20,2020-09-01","SUBTRACT 2 DATES","Difference is 1 years, 3 months, 1 weeks and 5 days"
"2020-08-27T06:15:48.8765159","2020-09-01,2019-05-20","SUBTRACT 2 DATES","Difference is 1 years, 3 months, 1 weeks and 5 days"
"2020-08-27T06:15:49.8902397","2019-05-20,2020-09-01","ADDING 2 DATES","21-02-4040"
"2020-08-27T06:15:49.8992097","2019-05-20,2020-09-01","SUBTRACT 2 DATES","Difference is 1 years, 3 months, 1 weeks and 5 days"
"2020-08-27T06:15:49.9112044","2020-08-27,12 weeks from now","Natural Language Expression","19-11-2020"
"2020-08-27T06:15:51.1432629","2020-08-27,tomorrow","Natural Language Expression","28-08-2020"
"2020-08-27T06:17:25.9786538","2020-09-01,-1","ADD/SUBTRACT N WEEKS","25-08-2020"
"2020-08-27T06:17:27.1386509","2020-09-01,-10","ADD/SUBTRACT N DAYS","22-08-2020"
"2020-08-27T06:17:28.1506504","2019-05-20,2019-05-20","SUBTRACT 2 DATES","Difference is 0 years, 0 months, 0 weeks and 0 days"
"2020-08-27T06:17:29.1606509","2019-05-20","WEEK NUMBER","Week number is 21 ."
"2020-08-27T06:17:29.1716701","2020-09-01","WEEK NUMBER","Week number is 36 ."
"2020-08-27T06:17:30.1926669","2019-05-20,365","ADD/SUBTRACT N DAYS","19-05-2020"
"2020-08-27T06:17:31.2066501","2019-05-20,3","ADD/SUBTRACT N MONTHS","20-08-2019"
"2020-08-27T06:17:32.2161748","2019-05-20,2020-09-01","ADDING 2 DATES","21-02-4040"
"2020-08-27T06:17:33.2072279","2020-09-01,10","ADD/SUBTRACT N DAYS","11-09-2020"
"2020-08-27T06:17:34.1991753","2020-09-01,365","ADD/SUBTRACT N DAYS","01-09-2021"
"2020-08-27T06:17:35.2211756","2020-09-01,2","ADD/SUBTRACT N WEEKS","15-09-2020"
"2020-08-27T06:17:36.2281754","2020-09-01,-10","ADD/SUBTRACT N DAYS","22-08-2020"
"2020-08-27T06:17:37.3225094","2020-09-01,-1","ADD/SUBTRACT N WEEKS","25-08-2020"
"2020-08-27T06:17:37.3304741","2020-09-01,-1","ADD/SUBTRACT N WEEKS","25-08-2020"
"2020-08-27T06:17:38.3364771","2019-05-20","DAY OF THE WEEK","Monday"
"2020-08-27T06:17:38.3444754","2020-09-01","DAY OF THE WEEK","Tuesday"
"2020-08-27T06:17:39.3594876","2019-05-20,2020-09-01","SUBTRACT 2 DATES","Difference is 1 years, 3 months, 1 weeks and 5 days"
"2020-08-27T06:17:40.3785078","2019-05-20,-3","ADD/SUBTRACT N MONTHS","20-02-2019"
"2020-08-27T06:17:41.3851758","2019-05-20,2020-09-01","SUBTRACT 2 DATES","Difference is 1 years, 3 months, 1 weeks and 5 days"
"2020-08-27T06:17:41.3920834","2020-09-01,2019-05-20","SUBTRACT 2 DATES","Difference is 1 years, 3 months, 1 weeks and 5 days"
"2020-08-27T06:17:42.3850459","2020-08-27,tomorrow","Natural Language Expression","28-08-2020"
